YOLO Index,GDE Index,Layer Type,Avg Pearson,Std Pearson,Avg Cosine,Std Cosine,Avg MSE,Std MSE,Samples
0,0,Conv,-0.18574078411679404,0.0562661445860138,0.26648646497745826,0.02196279477656222,14.024151,2.6408606,1000
1,1,Conv,-0.0021543169541037637,0.027962558551608455,0.3267182763965608,0.024764740495514404,13.89423,5.9995847,1000
2,2,C3k2,-0.039207536269831804,0.018302037595423887,0.20127853773784385,0.02646070351126481,1.8197033,0.21864027,1000
3,3,Conv,0.14068257302539333,0.018862862791855724,0.30229952697872287,0.024927279983292784,5.936799,0.27597836,1000
4,4,C3k2,0.07138316494728367,0.014970717190144443,-0.10831128732801594,0.029785292966004698,0.69360405,0.041220006,1000
5,5,Conv,-0.03898245003202366,0.017903962241995378,0.021938057505430087,0.01341534397631497,1.7645452,0.082935885,1000
6,6,C3k2,0.021364757239326734,0.017835922578894502,0.009294565306704375,0.020285421791534697,0.8052053,0.054014985,1000
7,7,Conv,0.01366426984582014,0.023151592141462177,-0.025877868195179954,0.026876535369483704,3.0753686,0.08439551,1000
8,8,C3k2,-0.014559514789624226,0.020875868083669827,0.10153324493037291,0.02230501096411013,2.641141,0.1416612,1000
9,9,SPPF,-0.016481831292506535,0.02771248207552393,-0.10029156527314691,0.03837716522177026,1.6503413,0.09005629,1000
10,10,C2PSA,-0.0010469243015503108,0.020167364314317114,-0.06261818313089115,0.020251844637994728,5.4967785,0.09636619,1000
13,13,C3k2,0.04803598532886231,0.013200899561305064,-0.013992147429442166,0.023121978743597116,6.6565576,0.12569545,1000
16,16,C3k2,-0.07969432315525711,0.013657612193744513,0.05966116759624731,0.017696915593260937,1.9378425,0.06036179,1000
17,17,Conv,-0.004643689506403927,0.024098874295530464,0.05347381083908859,0.03752444131339746,6.930753,0.14853092,1000
19,19,C3k2,-0.06005667263459763,0.010239931785499663,0.03979996645479501,0.0227686605618774,1.980082,0.05502911,1000
20,20,Conv,0.0002548014592077399,0.014638241584112446,0.13976481885212236,0.03212059248871914,6.9603124,0.15429126,1000
22,22,C3k2,0.03404746804438392,0.010052274858156419,0.06790181133230447,0.022615324826755618,2.705684,0.09103153,1000
