# 多人照片列表 (文件名, 人數)

datasets/yoga82/images/train/Firefly_Pose_or_Tittibhasana__image_99.jpg, 2
datasets/yoga82/images/train/viparita_virabhadrasana_or_reverse_warrior_pose_image_88.jpg, 2
datasets/yoga82/images/train/Bound_Angle_Pose_or_Baddha_Konasana__image_175.jpg, 2
datasets/yoga82/images/train/Wind_Relieving_pose_or_Pawanmuktasana_image_81.jpg, 2
datasets/yoga82/images/train/Fish_Pose_or_Matsyasana__image_101.jpg, 3
datasets/yoga82/images/train/viparita_virabhadrasana_or_reverse_warrior_pose_image_104.jpg, 2
datasets/yoga82/images/train/Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_202.jpg, 2
datasets/yoga82/images/train/Tree_Pose_or_Vrksasana__image_180.jpg, 2
datasets/yoga82/images/train/Bow_Pose_or_Dhanurasana__image_154.jpg, 2
datasets/yoga82/images/train/Warrior_III_Pose_or_Virabhadrasana_III__image_5.jpg, 2
datasets/yoga82/images/train/Tree_Pose_or_Vrksasana__image_237.jpg, 4
datasets/yoga82/images/train/Standing_big_toe_hold_pose_or_Utthita_Padangusthasana_image_161.jpg, 2
datasets/yoga82/images/train/Side_Crane_(Crow)_Pose_or_Parsva_Bakasana__image_66.jpg, 2
datasets/yoga82/images/train/Half_Moon_Pose_or_Ardha_Chandrasana__image_112.jpg, 2
datasets/yoga82/images/train/Legs-Up-the-Wall_Pose_or_Viparita_Karani__image_85.jpg, 2
datasets/yoga82/images/train/Handstand_pose_or_Adho_Mukha_Vrksasana__image_137.jpg, 2
datasets/yoga82/images/train/Half_Moon_Pose_or_Ardha_Chandrasana__image_65.jpg, 2
datasets/yoga82/images/train/Sitting pose 1 (normal)_image_265.jpg, 11
datasets/yoga82/images/train/Wind_Relieving_pose_or_Pawanmuktasana_image_82.jpg, 5
datasets/yoga82/images/train/Split pose_image_28.jpg, 2
datasets/yoga82/images/train/Chair_Pose_or_Utkatasana__image_62.jpg, 12
datasets/yoga82/images/train/Wind_Relieving_pose_or_Pawanmuktasana_image_54.jpg, 9
datasets/yoga82/images/train/Warrior_II_Pose_or_Virabhadrasana_II__image_128.jpg, 3
